"nation","Index name","Exponential encoding","date"
"Saudi Arabia","Exports to China","120055779","2011-12-31","4946753.5399"
"Saudi Arabia","Exports to China","120055779","2012-12-31","5486187.1"
"Saudi Arabia","Exports to China","120055779","2013-12-31","5345071.1"
"Saudi Arabia","Exports to China","120055779","2014-12-31","4850802.598"
"Saudi Arabia","Exports to China","120055779","2015-12-31","3002105.1"
"Saudi Arabia","Exports to China","120055779","2016-12-31","2362601.9"
"Saudi Arabia","Exports to China","120055779","2017-12-31","3176187.3"
"Saudi Arabia","Exports to China","120055779","2018-12-31","4585438"
"Saudi Arabia","Exports to China","120055779","2019-12-31","5419593.6612"
"Saudi Arabia","Exports to China","120055779","2020-12-31","3906985.7145"
"Saudi Arabia","Exports to China","120055779","2021-12-31","5696861"
"Saudi Arabia","Exports to China","120055779","2022-12-31","7805625"
"Saudi Arabia","Exports to China","120055779","2023-12-31","6436998.4391"
"Sri Lanka","Exports to China","120055776","2005-12-31","3660"
"Sri Lanka","Exports to China","120055776","2006-12-31","3483.4203"
"Sri Lanka","Exports to China","120055776","2007-12-31","4803.2084"
"Sri Lanka","Exports to China","120055776","2008-12-31","6054.067"
"Sri Lanka","Exports to China","120055776","2009-12-31","7038.3195"
"Sri Lanka","Exports to China","120055776","2010-12-31","10227.5"
"Sri Lanka","Exports to China","120055776","2011-12-31","15288.7599"
"Sri Lanka","Exports to China","120055776","2012-12-31","16195.5"
"Sri Lanka","Exports to China","120055776","2013-12-31","18256.4"
"Sri Lanka","Exports to China","120055776","2014-12-31","24827.2984"
"Sri Lanka","Exports to China","120055776","2015-12-31","25851.6"
"Sri Lanka","Exports to China","120055776","2016-12-31","27344.4"
"Sri Lanka","Exports to China","120055776","2017-12-31","31003"
"Sri Lanka","Exports to China","120055776","2018-12-31","32174.5"
"Sri Lanka","Exports to China","120055776","2019-12-31","39700.8323"
"Sri Lanka","Exports to China","120055776","2020-12-31","31776.3285"
"Sri Lanka","Exports to China","120055776","2021-12-31","65045"
"Sri Lanka","Exports to China","120055776","2022-12-31","49493"
"Sri Lanka","Exports to China","120055776","2023-12-31","35608.6963"
"Tajikistan","Exports to China","120055766","2005-12-31","1420"
"Tajikistan","Exports to China","120055766","2006-12-31","1800.2123"
"Tajikistan","Exports to China","120055766","2007-12-31","1028.4973"
"Tajikistan","Exports to China","120055766","2008-12-31","2024.353"
"Tajikistan","Exports to China","120055766","2009-12-31","18501.6693"
"Tajikistan","Exports to China","120055766","2010-12-31","5606.2"
"Tajikistan","Exports to China","120055766","2011-12-31","7222.7602"
"Tajikistan","Exports to China","120055766","2012-12-31","10882.9"
"Tajikistan","Exports to China","120055766","2013-12-31","8875.1"
"Tajikistan","Exports to China","120055766","2014-12-31","4769.8839"
"Tajikistan","Exports to China","120055766","2015-12-31","5203.5"
"Tajikistan","Exports to China","120055766","2016-12-31","3124.5"
"Tajikistan","Exports to China","120055766","2017-12-31","4673.7"
"Tajikistan","Exports to China","120055766","2018-12-31","7684.4"
"Tajikistan","Exports to China","120055766","2019-12-31","8461.9584"
"Tajikistan","Exports to China","120055766","2020-12-31","4529.3459"
"Tajikistan","Exports to China","120055766","2021-12-31","17547"
"Tajikistan","Exports to China","120055766","2022-12-31","37378"
"Tajikistan","Exports to China","120055766","2023-12-31","24927.9231"
"Thailand","Exports to China","120055774","2005-12-31","1399189"
"Thailand","Exports to China","120055774","2006-12-31","1796242.8351"
"Thailand","Exports to China","120055774","2007-12-31","2266469.0699"
"Thailand","Exports to China","120055774","2008-12-31","2565673.6974"
"Thailand","Exports to China","120055774","2009-12-31","2490530.7403"
"Thailand","Exports to China","120055774","2010-12-31","3319594.2"
"Thailand","Exports to China","120055774","2011-12-31","3903909.5408"
"Thailand","Exports to China","120055774","2012-12-31","3855465.6"
"Thailand","Exports to China","120055774","2013-12-31","3852264.6"
"Thailand","Exports to China","120055774","2014-12-31","3833192.8398"
"Thailand","Exports to China","120055774","2015-12-31","3716874.5"
"Thailand","Exports to China","120055774","2016-12-31","3853234.3"
"Thailand","Exports to China","120055774","2017-12-31","4159608.3"
"Thailand","Exports to China","120055774","2018-12-31","4462963.7"
"Thailand","Exports to China","120055774","2019-12-31","4616164.9902"
"Thailand","Exports to China","120055774","2020-12-31","4813973.7245"
"Thailand","Exports to China","120055774","2021-12-31","6183263"
"Thailand","Exports to China","120055774","2022-12-31","5655290"
"Thailand","Exports to China","120055774","2023-12-31","5054388.6572"
"Türkiye","Exports to China","120055773","2005-12-31","62174"
"Türkiye","Exports to China","120055773","2006-12-31","76595.1559"
"Türkiye","Exports to China","120055773","2007-12-31","129239.6675"
"Türkiye","Exports to China","120055773","2008-12-31","196293.3289"
"Türkiye","Exports to China","120055773","2009-12-31","176108.3455"
"Türkiye","Exports to China","120055773","2010-12-31","316854.3"
"Türkiye","Exports to China","120055773","2011-12-31","312375.6587"
"Türkiye","Exports to China","120055773","2012-12-31","351101.2"
"Türkiye","Exports to China","120055773","2013-12-31","448623.4"
"Türkiye","Exports to China","120055773","2014-12-31","370539.5699"
"Türkiye","Exports to China","120055773","2015-12-31","294363.8"
"Türkiye","Exports to China","120055773","2016-12-31","278541.5"
"Türkiye","Exports to China","120055773","2017-12-31","378343"
"Türkiye","Exports to China","120055773","2018-12-31","375686"
"Türkiye","Exports to China","120055773","2019-12-31","349681.9906"
"Türkiye","Exports to China","120055773","2020-12-31","373141.1072"
"Türkiye","Exports to China","120055773","2021-12-31","504897"
"Türkiye","Exports to China","120055773","2022-12-31","450431"
"Türkiye","Exports to China","120055773","2023-12-31","452447.1694"
"Turkmenistan","Exports to China","120055765","2005-12-31","1908"
"Turkmenistan","Exports to China","120055765","2006-12-31","1601.1532"
"Turkmenistan","Exports to China","120055765","2007-12-31","5014.082"
"Turkmenistan","Exports to China","120055765","2008-12-31","2844.0391"
"Turkmenistan","Exports to China","120055765","2009-12-31","3873.2297"
"Turkmenistan","Exports to China","120055765","2010-12-31","104451.9"
"Turkmenistan","Exports to China","120055765","2011-12-31","469317.3232"
"Turkmenistan","Exports to China","120055765","2012-12-31","867338.2"
"Turkmenistan","Exports to China","120055765","2013-12-31","889325.7"
"Turkmenistan","Exports to China","120055765","2014-12-31","951615.8297"
"Turkmenistan","Exports to China","120055765","2015-12-31","782766.1"
"Turkmenistan","Exports to China","120055765","2016-12-31","556329.5"
"Turkmenistan","Exports to China","120055765","2017-12-31","657512.6"
"Turkmenistan","Exports to China","120055765","2018-12-31","811937"
"Turkmenistan","Exports to China","120055765","2019-12-31","868602.2768"
"Turkmenistan","Exports to China","120055765","2020-12-31","607188.1112"
"Turkmenistan","Exports to China","120055765","2021-12-31","684446"
"Turkmenistan","Exports to China","120055765","2022-12-31","1031356"
"Turkmenistan","Exports to China","120055765","2023-12-31","963322.8488"
"Brunei","Exports to China","120055805","2005-12-31","20773"
"Brunei","Exports to China","120055805","2006-12-31","21531.2114"
"Brunei","Exports to China","120055805","2007-12-31","24607.7331"
"Brunei","Exports to China","120055805","2008-12-31","8888.4918"
"Brunei","Exports to China","120055805","2009-12-31","28199.3307"
"Brunei","Exports to China","120055805","2010-12-31","66433"
"Brunei","Exports to China","120055805","2011-12-31","56681.574"
"Brunei","Exports to China","120055805","2012-12-31","37309.9"
"Brunei","Exports to China","120055805","2013-12-31","8980.4"
"Brunei","Exports to China","120055805","2014-12-31","18971.7197"
"Brunei","Exports to China","120055805","2015-12-31","10115.6"
"Brunei","Exports to China","120055805","2016-12-31","22154.6"
"Brunei","Exports to China","120055805","2017-12-31","35181"
"Brunei","Exports to China","120055805","2018-12-31","24751"
"Brunei","Exports to China","120055805","2019-12-31","45287.7043"
"Brunei","Exports to China","120055805","2020-12-31","147599.395"
"Brunei","Exports to China","120055805","2021-12-31","222548"
"Brunei","Exports to China","120055805","2022-12-31","224862"
"Brunei","Exports to China","120055805","2023-12-31","194882.0614"
"Uzbekistan","Exports to China","120055764","2005-12-31","45050"
"Uzbekistan","Exports to China","120055764","2006-12-31","56593.6536"
"Uzbekistan","Exports to China","120055764","2007-12-31","36344.9961"
"Uzbekistan","Exports to China","120055764","2008-12-31","32888.1786"
"Uzbekistan","Exports to China","120055764","2009-12-31","35089.2072"
"Uzbekistan","Exports to China","120055764","2010-12-31","130224.4"
"Uzbekistan","Exports to China","120055764","2011-12-31","80737.1215"
"Uzbekistan","Exports to China","120055764","2012-12-31","109184.9"
"Uzbekistan","Exports to China","120055764","2013-12-31","193809.3"
"Uzbekistan","Exports to China","120055764","2014-12-31","159791.0202"
"Uzbekistan","Exports to China","120055764","2015-12-31","126706.4"
"Uzbekistan","Exports to China","120055764","2016-12-31","160705.8"
"Uzbekistan","Exports to China","120055764","2017-12-31","147144.9"
"Uzbekistan","Exports to China","120055764","2018-12-31","232446"
"Uzbekistan","Exports to China","120055764","2019-12-31","218078.1409"
"Uzbekistan","Exports to China","120055764","2020-12-31","148330.8489"
"Uzbekistan","Exports to China","120055764","2021-12-31","215541"
"Uzbekistan","Exports to China","120055764","2022-12-31","227641"
"Uzbekistan","Exports to China","120055764","2023-12-31","164378.0718"
"Singapore","Exports to China","120055778","2005-12-31","1651460"
"Singapore","Exports to China","120055778","2006-12-31","1767261.5941"
"Singapore","Exports to China","120055778","2007-12-31","1752368.4113"
"Singapore","Exports to China","120055778","2008-12-31","2017126.455"
"Singapore","Exports to China","120055778","2009-12-31","1780393.3383"
"Singapore","Exports to China","120055778","2010-12-31","2472875.1"
"Singapore","Exports to China","120055778","2011-12-31","2813992.0833"
"Singapore","Exports to China","120055778","2012-12-31","2853077.8"
"Singapore","Exports to China","120055778","2013-12-31","3006451.5"
"Singapore","Exports to China","120055778","2014-12-31","3082873.3314"
"Singapore","Exports to China","120055778","2015-12-31","2758076.3"
"Singapore","Exports to China","120055778","2016-12-31","2601424.9"
"Singapore","Exports to China","120055778","2017-12-31","3424962.4"
"Singapore","Exports to China","120055778","2018-12-31","3372777.2"
"Singapore","Exports to China","120055778","2019-12-31","3523781.8236"
"Singapore","Exports to China","120055778","2020-12-31","3161807.126"
"Singapore","Exports to China","120055778","2021-12-31","3881973"
"Singapore","Exports to China","120055778","2022-12-31","3364172"
"Singapore","Exports to China","120055778","2023-12-31","3142978.9681"
"Syria","Exports to China","120055775","2005-12-31","1774"
"Syria","Exports to China","120055775","2006-12-31","5066.3716"
"Syria","Exports to China","120055775","2007-12-31","827.1701"
"Syria","Exports to China","120055775","2008-12-31","986.4841"
"Syria","Exports to China","120055775","2009-12-31","1001.6691"
"Syria","Exports to China","120055775","2010-12-31","4028.8"
"Syria","Exports to China","120055775","2011-12-31","2615.5456"
"Syria","Exports to China","120055775","2012-12-31","1091.5"
"Syria","Exports to China","120055775","2013-12-31","470.5"
"Syria","Exports to China","120055775","2014-12-31","212.8134"
"Syria","Exports to China","120055775","2015-12-31","358.8"
"Syria","Exports to China","120055775","2016-12-31","326.4"
"Syria","Exports to China","120055775","2017-12-31","133.4"
"Syria","Exports to China","120055775","2018-12-31","86.9"
"Syria","Exports to China","120055775","2019-12-31","140.9486"
"Syria","Exports to China","120055775","2020-12-31","133.1472"
"Syria","Exports to China","120055775","2021-12-31","128"
"Syria","Exports to China","120055775","2022-12-31","224"
"Syria","Exports to China","120055775","2023-12-31","155.3166"
"Armenia","Exports to China","120055688","2005-12-31","35"
"Armenia","Exports to China","120055688","2006-12-31","841.252"
"Armenia","Exports to China","120055688","2007-12-31","3777.405"
"Armenia","Exports to China","120055688","2008-12-31","1150.6191"
"Armenia","Exports to China","120055688","2009-12-31","2393.8617"
"Armenia","Exports to China","120055688","2010-12-31","4676.4"
"Armenia","Exports to China","120055688","2011-12-31","3463.1988"
"Armenia","Exports to China","120055688","2012-12-31","3406.3"
"Armenia","Exports to China","120055688","2013-12-31","7313.9"
"Armenia","Exports to China","120055688","2014-12-31","16717.2701"
"Armenia","Exports to China","120055688","2015-12-31","20897.2"
"Armenia","Exports to China","120055688","2016-12-31","28061.8"
"Armenia","Exports to China","120055688","2017-12-31","30267.7"
"Armenia","Exports to China","120055688","2018-12-31","30214.3"
"Armenia","Exports to China","120055688","2019-12-31","53130.4034"
"Armenia","Exports to China","120055688","2020-12-31","79448.688"
"Armenia","Exports to China","120055688","2021-12-31","108762"
"Armenia","Exports to China","120055688","2022-12-31","90747"
"Armenia","Exports to China","120055688","2023-12-31","98712.7422"
"Yemen","Exports to China","120055771","2005-12-31","266769"
"Yemen","Exports to China","120055771","2006-12-31","223255.2307"
"Yemen","Exports to China","120055771","2007-12-31","174529.0218"
"Yemen","Exports to China","120055771","2008-12-31","320987.2995"
"Yemen","Exports to China","120055771","2009-12-31","123751.1097"
"Yemen","Exports to China","120055771","2010-12-31","277908.1"
"Yemen","Exports to China","120055771","2011-12-31","313570.2068"
"Yemen","Exports to China","120055771","2012-12-31","360405.5"
"Yemen","Exports to China","120055771","2013-12-31","306130.1"
"Yemen","Exports to China","120055771","2014-12-31","293285.3594"
"Yemen","Exports to China","120055771","2015-12-31","89813.8"
"Yemen","Exports to China","120055771","2016-12-31","16602.8"
"Yemen","Exports to China","120055771","2017-12-31","65996.2"
"Yemen","Exports to China","120055771","2018-12-31","71993.3"
"Yemen","Exports to China","120055771","2019-12-31","86662.5199"
"Yemen","Exports to China","120055771","2020-12-31","67401.9114"
"Yemen","Exports to China","120055771","2021-12-31","48617"
"Yemen","Exports to China","120055771","2022-12-31","63327"
"Yemen","Exports to China","120055771","2023-12-31","1692.882"
"Iraq","Exports to China","120055796","2005-12-31","41568"
"Iraq","Exports to China","120055796","2006-12-31","65327.2934"
"Iraq","Exports to China","120055796","2007-12-31","76579.6913"
"Iraq","Exports to China","120055796","2008-12-31","138166.4347"
"Iraq","Exports to China","120055796","2009-12-31","330960.1625"
"Iraq","Exports to China","120055796","2010-12-31","627519.1"
"Iraq","Exports to China","120055796","2011-12-31","1044363.3871"
"Iraq","Exports to China","120055796","2012-12-31","1265577.3"
"Iraq","Exports to China","120055796","2013-12-31","1798476.4"
"Iraq","Exports to China","120055796","2014-12-31","2076123.9088"
"Iraq","Exports to China","120055796","2015-12-31","1267463"
"Iraq","Exports to China","120055796","2016-12-31","1066327.1"
"Iraq","Exports to China","120055796","2017-12-31","1381411.2"
"Iraq","Exports to China","120055796","2018-12-31","2249527.4"
"Iraq","Exports to China","120055796","2019-12-31","2392733.6322"
"Iraq","Exports to China","120055796","2020-12-31","1930376.4652"
"Iraq","Exports to China","120055796","2021-12-31","2665311"
"Iraq","Exports to China","120055796","2022-12-31","3939520"
"Iraq","Exports to China","120055796","2023-12-31","3545447.4772"
"Iran","Exports to China","120055797","2005-12-31","678668"
"Iran","Exports to China","120055797","2006-12-31","995845.6154"
"Iran","Exports to China","120055797","2007-12-31","1330559.7175"
"Iran","Exports to China","120055797","2008-12-31","1959419.5353"
"Iran","Exports to China","120055797","2009-12-31","1329997.4778"
"Iran","Exports to China","120055797","2010-12-31","1829908.3"
"Iran","Exports to China","120055797","2011-12-31","3034131.3753"
"Iran","Exports to China","120055797","2012-12-31","2486839.2"
"Iran","Exports to China","120055797","2013-12-31","2538986.4"
"Iran","Exports to China","120055797","2014-12-31","2750384.9631"
"Iran","Exports to China","120055797","2015-12-31","1605744.7"
"Iran","Exports to China","120055797","2016-12-31","1482719.2"
"Iran","Exports to China","120055797","2017-12-31","1855369.3"
"Iran","Exports to China","120055797","2018-12-31","2110228"
"Iran","Exports to China","120055797","2019-12-31","1344562.9531"
"Iran","Exports to China","120055797","2020-12-31","644155.6555"
"Iran","Exports to China","120055797","2021-12-31","650253"
"Iran","Exports to China","120055797","2022-12-31","635370"
"Iran","Exports to China","120055797","2023-12-31","458152.0146"
"Indonesia","Exports to China","120055798","2005-12-31","843696"
"Indonesia","Exports to China","120055798","2006-12-31","960574.3215"
"Indonesia","Exports to China","120055798","2007-12-31","1239507.7625"
"Indonesia","Exports to China","120055798","2008-12-31","1432293.4795"
"Indonesia","Exports to China","120055798","2009-12-31","1366822.9375"
"Indonesia","Exports to China","120055798","2010-12-31","2079671.9"
"Indonesia","Exports to China","120055798","2011-12-31","3133738.2984"
"Indonesia","Exports to China","120055798","2012-12-31","3195070.3"
"Indonesia","Exports to China","120055798","2013-12-31","3142426.2"
"Indonesia","Exports to China","120055798","2014-12-31","2448524.6982"
"Indonesia","Exports to China","120055798","2015-12-31","1988619.4"
"Indonesia","Exports to China","120055798","2016-12-31","2141403.6"
"Indonesia","Exports to China","120055798","2017-12-31","2857430.6"
"Indonesia","Exports to China","120055798","2018-12-31","3414977.6"
"Indonesia","Exports to China","120055798","2019-12-31","3411387.4419"
"Indonesia","Exports to China","120055798","2020-12-31","3748185.2148"
"Indonesia","Exports to China","120055798","2021-12-31","6392283"
"Indonesia","Exports to China","120055798","2022-12-31","7789081"
"Indonesia","Exports to China","120055798","2023-12-31","7421546.035"
"Jordan","Exports to China","120055793","2005-12-31","7887"
"Jordan","Exports to China","120055793","2006-12-31","5323.1886"
"Jordan","Exports to China","120055793","2007-12-31","8206.8909"
"Jordan","Exports to China","120055793","2008-12-31","12317.5273"
"Jordan","Exports to China","120055793","2009-12-31","11226.3782"
"Jordan","Exports to China","120055793","2010-12-31","16470.6"
"Jordan","Exports to China","120055793","2011-12-31","25672.183"
"Jordan","Exports to China","120055793","2012-12-31","29710.3"
"Jordan","Exports to China","120055793","2013-12-31","16987.5"
"Jordan","Exports to China","120055793","2014-12-31","26320.4026"
"Jordan","Exports to China","120055793","2015-12-31","28752.1"
"Jordan","Exports to China","120055793","2016-12-31","21116.1"
"Jordan","Exports to China","120055793","2017-12-31","27918.5"
"Jordan","Exports to China","120055793","2018-12-31","21418.2"
"Jordan","Exports to China","120055793","2019-12-31","43406.0039"
"Jordan","Exports to China","120055793","2020-12-31","42572.9742"
"Jordan","Exports to China","120055793","2021-12-31","42471"
"Jordan","Exports to China","120055793","2022-12-31","74587"
"Jordan","Exports to China","120055793","2023-12-31","70592.0459"
"Vietnam","Exports to China","120055770","2005-12-31","255284"
"Vietnam","Exports to China","120055770","2006-12-31","248607.63"
"Vietnam","Exports to China","120055770","2007-12-31","322628.0825"
"Vietnam","Exports to China","120055770","2008-12-31","433631.747"
"Vietnam","Exports to China","120055770","2009-12-31","474752.76"
"Vietnam","Exports to China","120055770","2010-12-31","698454.2"
"Vietnam","Exports to China","120055770","2011-12-31","1111770.0164"
"Vietnam","Exports to China","120055770","2012-12-31","1623129.4"
"Vietnam","Exports to China","120055770","2013-12-31","1689189.3"
"Vietnam","Exports to China","120055770","2014-12-31","1990639.7835"
"Vietnam","Exports to China","120055770","2015-12-31","2983174.5"
"Vietnam","Exports to China","120055770","2016-12-31","3717160.4"
"Vietnam","Exports to China","120055770","2017-12-31","5037461.7"
"Vietnam","Exports to China","120055770","2018-12-31","6395634.9"
"Vietnam","Exports to China","120055770","2019-12-31","6411667.4838"
"Vietnam","Exports to China","120055770","2020-12-31","7847442.5894"
"Vietnam","Exports to China","120055770","2021-12-31","9231942"
"Vietnam","Exports to China","120055770","2022-12-31","8794254"
"Vietnam","Exports to China","120055770","2023-12-31","9218183.7813"
